Year,DOY,HHMM,u_1[cm3 s-1],u_2[cm3 s-1],u_3[cm3 s-1],u_4[cm3 s-1],u_5[cm3 s-1],u_6[cm3 s-1],u_7[cm3 s-1],u_8[cm3 s-1],u_9[cm3 s-1],u_10[cm3 s-1],u_11[cm3 s-1],u_12[cm3 s-1],u_mean[cm3 s-1],u_mean[mm s-1],u_mean[W m-2],u_mean[kgm-2s-1],u_mean[?],u_mean[mm d-1]
2022,17,2320,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,17,2350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,18,550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,18,620,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,18,650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,18,720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022,18,750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
